Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0603_1608Metric",1.905000,55.562500,0.000000,top
"C2","0.1uF","C_0402_1005Metric",21.590000,9.525000,-90.000000,top
"C3","10uF","C_0402_1005Metric",6.667500,9.525000,-90.000000,top
"C6","1.0uF","C_0402_1005Metric",17.145000,25.717500,-90.000000,top
"C7","4.7uF","C_0402_1005Metric",1.905000,53.975000,180.000000,top
"C9","4.7uF","C_0603_1608Metric",11.430000,14.605000,90.000000,top
"C10","2.2uF","C_0402_1005Metric",5.715000,27.940000,0.000000,top
"C12","4.7uF","C_0402_1005Metric",18.415000,14.605000,-90.000000,top
"C13","1.0uF","C_0402_1005Metric",9.525000,26.670000,0.000000,top
"C14","2.2uF","C_0402_1005Metric",10.477500,7.620000,180.000000,top
"FID4","Fiducial_0.5mm","Fiducial_0.5mm_Mask1mm",17.145000,0.635000,0.000000,top
"G3","OSHW_Logo","Creative_Commons_License",6.985000,-11.430000,0.000000,top
"J1","USB_C_Receptacle","USB-C_16",11.430000,6.346250,0.000000,top
"J3","JST_2mm_LiPo","JST_SMD_2.0mm-2",3.810000,18.415000,90.000000,top
"R8","10k","R_0402_1005Metric",18.415000,25.717500,90.000000,top
"R10","5.1k","R_0402_1005Metric",17.145000,4.762500,-90.000000,top
"R11","5.1k","R_0402_1005Metric",5.715000,4.762500,90.000000,top
"R13","100k","R_0402_1005Metric",5.715000,23.495000,180.000000,top
"R16","2.0k","R_0402_1005Metric",14.922500,12.065000,0.000000,top
"R17","10k","R_0402_1005Metric",9.842500,12.700000,-90.000000,top
"R19","100k","R_0402_1005Metric",7.937500,13.335000,180.000000,top
"ST1","Standoff","Standoff",2.540000,2.540000,0.000000,top
"ST3","Standoff","Standoff",20.320000,2.540000,0.000000,top
"SW2","SMD_4.6x2.8mm_h2.5mm","Push_SMD_4.6x2.8mm_h2.5mm",13.335000,25.717500,0.000000,top
"U1","RT9080-3.3","SOT23-5",9.525000,9.525000,180.000000,top
"U2","DT1042-04SO","SOT23-6",14.922500,9.525000,180.000000,top
"U3","ESP32-S3-MINI","ESP32-MINI",11.430000,45.720000,0.000000,top
"U4","MAX17048","DFN-8",19.367500,9.525000,180.000000,top
"U5","MCP73831","SOT23-5",14.922500,14.605000,180.000000,top
"U6","RT9080-3.3","SOT23-5",5.715000,25.717500,0.000000,top
"U9","~","Ordering_Instructions",33.020000,50.800000,0.000000,top
