"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"ESP32-MINI";1;"ESP32-S3-MINI";;;
2;"SW2";"Push_SMD_4.6x2.8mm_h2.5mm";1;"SMD_4.6x2.8mm_h2.5mm";;;
3;"U4";"DFN-8";1;"MAX17048";;;
4;"R8,R17";"R_0402_1005Metric";2;"10k";;;
5;"J1";"USB-C_16";1;"USB_C_Receptacle";;;
6;"C9";"C_0603_1608Metric";1;"4.7uF";;;
7;"R13,R19";"R_0402_1005Metric";2;"100k";;;
8;"C2";"C_0402_1005Metric";1;"0.1uF";;;
9;"R16";"R_0402_1005Metric";1;"2.0k";;;
10;"FID4,FID1";"Fiducial_0.5mm_Mask1mm";2;"Fiducial_0.5mm";;;
11;"R11,R10";"R_0402_1005Metric";2;"5.1k";;;
12;"ST1,ST3";"Standoff";2;"Standoff";;;
13;"U2";"SOT23-6";1;"DT1042-04SO";;;
14;"U5";"SOT23-5";1;"MCP73831";;;
15;"C7,C12";"C_0402_1005Metric";2;"4.7uF";;;
16;"U9";"Ordering_Instructions";1;"~";;;
17;"C6,C13";"C_0402_1005Metric";2;"1.0uF";;;
18;"U6,U1";"SOT23-5";2;"RT9080-3.3";;;
19;"C10,C14";"C_0402_1005Metric";2;"2.2uF";;;
20;"C1";"C_0603_1608Metric";1;"22uF";;;
21;"C3";"C_0402_1005Metric";1;"10uF";;;
22;"J3";"JST_SMD_2.0mm-2";1;"JST_2mm_LiPo";;;
23;"JP2";"Jumper_2_NC_Trace";1;"~";;;
