Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,22uF,
"C10, C14",0402,2,2.2uF,
"C11, C2, C5",0402,3,0.1uF,
"C12, C7, C9",0402,3,4.7uF,
"C13_2, C16, C3",0402,3,10uF,
"C13, C15, C6",0402,3,1.0uF,
"C14_2, C3_2",0402,2,1uF,
"C4, C8",C0402,2,15pF,
D2,SMA_L4.3-W2.6-LS5.2-RD,1,C8678,
J1,CONN-SMD_PH-2AWT,1,PH-2AWT,C2763693
JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,~,
"LED1, LED2, LED3, LED4",LED0805-R-RD,4,C2297,
Q1,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,C10487,
R1,0603,1,1M,
"R10, R11",0402,2,5.1k,
"R12, R5, R7, R9",0402,4,49.9,
"R13_2, R14, R15, R16_2, R17, R3, R8",0402,7,10k,
"R13, R19, R6",0402,3,100k,
"R16, R4",0402,2,2.0k,
R2,0603,1,330k,
"SW1, SW2, SW3, SW4, SW5, SW6",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,6,C318884,
U1_2,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,C16581,
"U1, U6",SOT-23-5,2,RT9080-33,
U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,1,C85364,
U5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,MCP73831,
U8,SOT-353_L2.1-W1.3-P0.65-LS2.3-BL,1,C235316,
U9,Ordering_Instructions,1,~,
USB2,USB-C_SMD-TYPE-C-31-M-12,1,C2927038,
X1,FC-135R_L3.2-W1.5,1,C32346,
